vectorizer_type,stopwords_option,stopwords_count,n_estimators,max_depth,accuracy,mcc,train_time,config_str
bow,custom,10,100,0,0.801605504587156,0.6061514929857382,31.01590371131897,bow_custom_10_n100_d0
bow,custom,30,150,0,0.7993119266055045,0.6015519237187644,28.671120166778564,bow_custom_30_n150_d0
bow,custom,20,150,0,0.7981651376146789,0.6013527153653596,16.54895520210266,bow_custom_20_n150_d0
bow,custom,10,100,0,0.7958715596330275,0.5950860122739108,16.93153166770935,bow_custom_10_n100_d0
bow,custom,30,150,0,0.7958715596330275,0.5935248229642982,53.52335810661316,bow_custom_30_n150_d0
bow,custom,30,100,0,0.7935779816513762,0.5899156802542734,11.500923156738281,bow_custom_30_n100_d0
bow,custom,10,150,0,0.7935779816513762,0.5917747461248246,18.43894863128662,bow_custom_10_n150_d0
bow,custom,10,150,0,0.7924311926605505,0.5877532159178429,25.83842444419861,bow_custom_10_n150_d0
bow,custom,30,150,0,0.7924311926605505,0.5874824804495581,17.589987754821777,bow_custom_30_n150_d0
bow,custom,10,150,0,0.7924311926605505,0.5883327566127311,46.579538106918335,bow_custom_10_n150_d0
bow,custom,20,100,0,0.7924311926605505,0.5874824804495581,32.62187576293945,bow_custom_20_n100_d0
bow,custom,20,150,0,0.7912844036697247,0.5853168525366569,49.66517782211304,bow_custom_20_n150_d0
tfidf,custom,10,100,0,0.7901376146788991,0.585393337028282,16.358593940734863,tfidf_custom_10_n100_d0
bow,custom,30,150,0,0.7901376146788991,0.5837299738766258,21.282909631729126,bow_custom_30_n150_d0
bow,custom,10,100,0,0.7889908256880734,0.5822179982373229,12.346961259841919,bow_custom_10_n100_d0
bow,custom,10,150,0,0.7889908256880734,0.5829068321587115,14.889803171157837,bow_custom_10_n150_d0
tfidf,custom,30,150,0,0.7889908256880734,0.5818927210357296,26.948737382888794,tfidf_custom_30_n150_d0
bow,custom,10,100,0,0.7878440366972477,0.5807807752228038,10.026448011398315,bow_custom_10_n100_d0
bow,custom,20,100,0,0.7878440366972477,0.5794325749712966,18.14517092704773,bow_custom_20_n100_d0
bow,custom,20,100,0,0.7878440366972477,0.5804246190174468,10.702392578125,bow_custom_20_n100_d0
tfidf,custom,30,100,0,0.7878440366972477,0.579750573381914,15.082226037979126,tfidf_custom_30_n100_d0
bow,custom,30,100,0,0.786697247706422,0.5751497024067157,19.253567695617676,bow_custom_30_n100_d0
tfidf,custom,20,100,0,0.786697247706422,0.5794182438128574,17.288169145584106,tfidf_custom_20_n100_d0
bow,custom,20,100,0,0.7855504587155964,0.5754728878261907,13.150542259216309,bow_custom_20_n100_d0
tfidf,custom,20,150,0,0.7855504587155964,0.5769144669403538,50.67529273033142,tfidf_custom_20_n150_d0
bow,custom,20,150,0,0.7855504587155964,0.5754728878261907,29.061746835708618,bow_custom_20_n150_d0
bow,custom,30,100,0,0.7855504587155964,0.5736881479821754,14.228971719741821,bow_custom_30_n100_d0
bow,custom,20,150,0,0.783256880733945,0.5715556516118474,20.398432970046997,bow_custom_20_n150_d0
bow,custom,30,100,0,0.783256880733945,0.5677564384787654,34.184497594833374,bow_custom_30_n100_d0
tfidf,custom,10,100,0,0.783256880733945,0.570537785905349,19.930683851242065,tfidf_custom_10_n100_d0
tfidf,custom,10,150,0,0.783256880733945,0.5708645386528405,30.8898344039917,tfidf_custom_10_n150_d0
tfidf,custom,30,100,0,0.783256880733945,0.5699216256683097,22.911295413970947,tfidf_custom_30_n100_d0
tfidf,custom,10,150,0,0.7821100917431193,0.5690724197537254,46.33001089096069,tfidf_custom_10_n150_d0
tfidf,custom,20,150,0,0.7821100917431193,0.5697991222706181,26.15198850631714,tfidf_custom_20_n150_d0
tfidf,custom,20,100,0,0.7821100917431193,0.5701814484087475,33.53515124320984,tfidf_custom_20_n100_d0
tfidf,custom,10,150,0,0.7809633027522935,0.5673053045617111,24.292328596115112,tfidf_custom_10_n150_d0
tfidf,custom,30,150,0,0.7809633027522935,0.5662561894794904,52.40629196166992,tfidf_custom_30_n150_d0
tfidf,custom,20,150,0,0.7809633027522935,0.5680675620015974,21.777048587799072,tfidf_custom_20_n150_d0
tfidf,custom,10,100,0,0.7809633027522935,0.5665934038293466,31.802488803863525,tfidf_custom_10_n100_d0
tfidf,custom,20,150,0,0.7798165137614679,0.5648157883503023,32.989633321762085,tfidf_custom_20_n150_d0
tfidf,custom,20,100,0,0.7798165137614679,0.5655630507066925,22.07420301437378,tfidf_custom_20_n100_d0
tfidf,custom,20,100,0,0.7798165137614679,0.5648157883503023,14.820274353027344,tfidf_custom_20_n100_d0
tfidf,custom,30,150,0,0.7786697247706422,0.5610144214563705,34.224761724472046,tfidf_custom_30_n150_d0
tfidf,custom,10,100,0,0.7775229357798165,0.5598494781504013,14.106390476226807,tfidf_custom_10_n100_d0
tfidf,custom,30,100,0,0.7775229357798165,0.5598494781504013,17.843729734420776,tfidf_custom_30_n100_d0
tfidf,custom,30,150,0,0.7752293577981652,0.5552380073487393,22.98373770713806,tfidf_custom_30_n150_d0
tfidf,custom,10,150,0,0.7740825688073395,0.5534608450974267,20.47959589958191,tfidf_custom_10_n150_d0
tfidf,custom,30,100,0,0.7740825688073395,0.5518053446989073,34.93819856643677,tfidf_custom_30_n100_d0
