vectorizer_type,stopwords_option,stopwords_count,n_estimators,max_depth,accuracy,mcc,train_time,config_str
bow,custom,10,100,0,0.801605504587156,0.6061514929857382,31.01590371131897,bow_custom_10_n100_d0
bow,custom,30,150,0,0.7993119266055045,0.6015519237187644,28.671120166778564,bow_custom_30_n150_d0
bow,custom,20,150,0,0.7981651376146789,0.6013527153653596,16.54895520210266,bow_custom_20_n150_d0
bow,custom,10,100,0,0.7958715596330275,0.5950860122739108,16.93153166770935,bow_custom_10_n100_d0
bow,custom,30,150,0,0.7958715596330275,0.5935248229642982,53.52335810661316,bow_custom_30_n150_d0
bow,custom,30,100,0,0.7935779816513762,0.5899156802542734,11.500923156738281,bow_custom_30_n100_d0
bow,custom,10,150,0,0.7935779816513762,0.5917747461248246,18.43894863128662,bow_custom_10_n150_d0
bow,custom,10,150,0,0.7924311926605505,0.5877532159178429,25.83842444419861,bow_custom_10_n150_d0
bow,custom,30,150,0,0.7924311926605505,0.5874824804495581,17.589987754821777,bow_custom_30_n150_d0
bow,custom,10,150,0,0.7924311926605505,0.5883327566127311,46.579538106918335,bow_custom_10_n150_d0
