vectorizer_type,stopwords_option,stopwords_count,n_estimators,max_depth,accuracy,mcc,train_time,config_str
bow,custom,30,150,0,0.7901376146788991,0.5809110964690545,302.7620916366577,bow_custom_30_n150_d0
tfidf,custom,20,150,0,0.7844036697247706,0.5744151092143192,217.42345476150513,tfidf_custom_20_n150_d0
tfidf,custom,30,150,0,0.783256880733945,0.5690900371597144,232.80584955215454,tfidf_custom_30_n150_d0
tfidf,custom,50,150,0,0.7809633027522935,0.5619082504053798,254.77587890625,tfidf_custom_50_n150_d0
bow,custom,20,150,0,0.7809633027522935,0.5617893294947995,287.48246216773987,bow_custom_20_n150_d0
bow,custom,50,150,0,0.7706422018348624,0.5424669621925565,318.0600919723511,bow_custom_50_n150_d0
tfidf,,0,150,0,0.7603211009174312,0.520773327647764,172.02249097824097,tfidf_None_n150_d0
bow,,0,150,0,0.7557339449541285,0.5117323173164459,247.91966676712036,bow_None_n150_d0
tfidf,english,0,150,0,0.7488532110091743,0.4974836987098868,288.1025776863098,tfidf_english_n150_d0
bow,english,0,150,0,0.7373853211009175,0.48330766495072375,332.28430914878845,bow_english_n150_d0
