vectorizer_type,stopwords_option,stopwords_count,c_value,accuracy,mcc,train_time,config_str
tfidf,,0,0.1,0.8325688073394495,0.6650032512365469,0.391448974609375,tfidf_None_C0.1
bow,custom,30,0.1,0.8325688073394495,0.665107916379147,0.4546198844909668,bow_custom_30_C0.1
tfidf,custom,30,0.1,0.8291284403669725,0.6581526485151515,0.3474302291870117,tfidf_custom_30_C0.1
tfidf,custom,20,0.1,0.8291284403669725,0.658157909789304,0.3461430072784424,tfidf_custom_20_C0.1
bow,custom,20,0.1,0.8268348623853211,0.6536009603425408,0.48171567916870117,bow_custom_20_C0.1
bow,custom,10,0.01,0.8268348623853211,0.6535353032104133,0.38999319076538086,bow_custom_10_C0.01
bow,,0,0.1,0.8245412844036697,0.6496663941661134,0.6887309551239014,bow_None_C0.1
tfidf,custom,10,0.1,0.8245412844036697,0.6489446572912939,0.36051392555236816,tfidf_custom_10_C0.1
tfidf,custom,50,0.1,0.823394495412844,0.646795814672519,0.3356301784515381,tfidf_custom_50_C0.1
bow,custom,40,0.1,0.8222477064220184,0.6444163785683007,0.4704456329345703,bow_custom_40_C0.1
tfidf,,0,1.0,0.8222477064220184,0.6448112199699652,0.5441250801086426,tfidf_None_C1.0
bow,,0,0.01,0.8222477064220184,0.6443923505132733,0.445601224899292,bow_None_C0.01
bow,custom,10,0.1,0.8211009174311926,0.6424576083500256,0.5540049076080322,bow_custom_10_C0.1
bow,custom,50,0.01,0.8211009174311926,0.6420517743241336,0.3360581398010254,bow_custom_50_C0.01
bow,custom,20,0.01,0.8211009174311926,0.6420813336701188,0.3508734703063965,bow_custom_20_C0.01
tfidf,custom,40,0.1,0.8211009174311926,0.6420689894338655,0.33907175064086914,tfidf_custom_40_C0.1
bow,custom,50,0.1,0.819954128440367,0.6398747383050507,0.4643383026123047,bow_custom_50_C0.1
bow,custom,40,0.01,0.8188073394495413,0.6374584334295579,0.33736443519592285,bow_custom_40_C0.01
bow,custom,30,0.01,0.8176605504587156,0.6351955495077748,0.338137149810791,bow_custom_30_C0.01
tfidf,custom,10,1.0,0.8176605504587156,0.6357322090971937,0.4734475612640381,tfidf_custom_10_C1.0
tfidf,custom,40,1.0,0.8153669724770642,0.6312618882789476,0.4391193389892578,tfidf_custom_40_C1.0
bow,,0,1.0,0.8153669724770642,0.6314046684551848,1.1011676788330078,bow_None_C1.0
tfidf,custom,50,1.0,0.8153669724770642,0.6311326398302198,0.4302031993865967,tfidf_custom_50_C1.0
tfidf,custom,30,1.0,0.8142201834862385,0.6295173985587665,0.47522711753845215,tfidf_custom_30_C1.0
tfidf,custom,20,1.0,0.8142201834862385,0.6291793207403344,0.4804980754852295,tfidf_custom_20_C1.0
bow,english,0,0.1,0.8142201834862385,0.6301268466105329,0.44455718994140625,bow_english_C0.1
tfidf,custom,30,0.01,0.8119266055045872,0.6237265302685864,0.28542280197143555,tfidf_custom_30_C0.01
tfidf,english,0,0.1,0.8073394495412844,0.615525207671254,0.3406977653503418,tfidf_english_C0.1
bow,custom,20,1.0,0.805045871559633,0.6103783540436686,0.8246173858642578,bow_custom_20_C1.0
bow,custom,10,1.0,0.805045871559633,0.610919754099304,0.8185076713562012,bow_custom_10_C1.0
tfidf,custom,40,0.01,0.8038990825688074,0.6077300132225478,0.2835066318511963,tfidf_custom_40_C0.01
tfidf,custom,100,0.1,0.8038990825688074,0.6076470306989228,0.3196699619293213,tfidf_custom_100_C0.1
bow,custom,30,1.0,0.8027522935779816,0.6063143005273541,0.7827568054199219,bow_custom_30_C1.0
tfidf,,0,10.0,0.8027522935779816,0.6061610801681735,1.2511255741119385,tfidf_None_C10.0
bow,custom,100,0.1,0.8027522935779816,0.6055144199068275,0.3906078338623047,bow_custom_100_C0.1
bow,custom,100,0.01,0.801605504587156,0.603041529703282,0.29881715774536133,bow_custom_100_C0.01
tfidf,custom,50,0.01,0.801605504587156,0.6032005829757141,0.2847254276275635,tfidf_custom_50_C0.01
tfidf,custom,10,0.01,0.801605504587156,0.6035627217033075,0.29655885696411133,tfidf_custom_10_C0.01
tfidf,custom,10,10.0,0.8004587155963303,0.6018732450196922,1.160599708557129,tfidf_custom_10_C10.0
tfidf,custom,20,0.01,0.7993119266055045,0.5987683146052347,0.29222559928894043,tfidf_custom_20_C0.01
tfidf,english,0,1.0,0.7981651376146789,0.5982731702111552,0.4650123119354248,tfidf_english_C1.0
bow,custom,50,1.0,0.7958715596330275,0.591983043173202,0.6314167976379395,bow_custom_50_C1.0
bow,custom,200,0.1,0.7958715596330275,0.5923501358248769,0.3501298427581787,bow_custom_200_C0.1
tfidf,,0,0.01,0.7958715596330275,0.5924195085892533,0.3089480400085449,tfidf_None_C0.01
tfidf,custom,20,10.0,0.7947247706422018,0.5899796238302367,0.8658668994903564,tfidf_custom_20_C10.0
bow,custom,40,1.0,0.7947247706422018,0.5901201732265176,0.7104377746582031,bow_custom_40_C1.0
bow,,0,10.0,0.7935779816513762,0.5878924862395544,4.402227163314819,bow_None_C10.0
tfidf,custom,30,10.0,0.7924311926605505,0.5863996507953267,0.9011495113372803,tfidf_custom_30_C10.0
bow,custom,10,10.0,0.7924311926605505,0.585250623561033,3.2268707752227783,bow_custom_10_C10.0
tfidf,custom,200,0.1,0.7912844036697247,0.5825399449103628,0.2991750240325928,tfidf_custom_200_C0.1
tfidf,custom,100,0.01,0.7912844036697247,0.5824282226151385,0.2736492156982422,tfidf_custom_100_C0.01
bow,english,0,1.0,0.7912844036697247,0.584897368653178,0.62784743309021,bow_english_C1.0
tfidf,custom,50,10.0,0.7901376146788991,0.5810606486652788,0.9820966720581055,tfidf_custom_50_C10.0
tfidf,custom,100,1.0,0.7889908256880734,0.5784092492481432,0.4365265369415283,tfidf_custom_100_C1.0
bow,english,0,0.01,0.7878440366972477,0.5761712756219207,0.33441734313964844,bow_english_C0.01
tfidf,english,0,0.01,0.7878440366972477,0.5756798726364589,0.27803778648376465,tfidf_english_C0.01
tfidf,custom,10,100.0,0.7878440366972477,0.5764542549269963,3.9784457683563232,tfidf_custom_10_C100.0
bow,,0,100.0,0.786697247706422,0.5749656397672376,22.51114583015442,bow_None_C100.0
bow,custom,20,10.0,0.786697247706422,0.5736913810500851,3.053527355194092,bow_custom_20_C10.0
bow,custom,30,10.0,0.786697247706422,0.574229091480618,2.2207682132720947,bow_custom_30_C10.0
bow,custom,40,10.0,0.7855504587155964,0.5718478611887138,2.448031425476074,bow_custom_40_C10.0
tfidf,custom,40,10.0,0.7855504587155964,0.5720060563379823,0.9087080955505371,tfidf_custom_40_C10.0
tfidf,custom,20,100.0,0.7844036697247706,0.5692053648440487,4.565279006958008,tfidf_custom_20_C100.0
bow,custom,10,100.0,0.783256880733945,0.5673977071646322,14.61447024345398,bow_custom_10_C100.0
tfidf,,0,100.0,0.783256880733945,0.5673977071646322,4.94703221321106,tfidf_None_C100.0
bow,custom,200,0.01,0.7809633027522935,0.5617551426001397,0.2765469551086426,bow_custom_200_C0.01
bow,custom,100,1.0,0.7809633027522935,0.5622449912020757,0.5408720970153809,bow_custom_100_C1.0
bow,english,0,10.0,0.7809633027522935,0.563325551688186,2.9888219833374023,bow_english_C10.0
