vectorizer_type,stopwords_option,stopwords_count,n_estimators,max_depth,accuracy,mcc,train_time,config_str
tfidf,custom,50,200,0,0.7878440366972477,0.5761539052947845,486.60092186927795,tfidf_custom_50_n200_d0
tfidf,custom,50,100,0,0.783256880733945,0.5668568812510089,262.9909152984619,tfidf_custom_50_n100_d0
tfidf,custom,50,50,0,0.7775229357798165,0.5558549956868745,132.61216568946838,tfidf_custom_50_n50_d0
bow,,0,200,30,0.7649082568807339,0.5306888577433636,21.894227981567383,bow_None_n200_d30
bow,,0,100,0,0.7649082568807339,0.5301434482608672,257.4833490848541,bow_None_n100_d0
bow,custom,50,200,0,0.7626146788990825,0.5272143920235849,665.5470631122589,bow_custom_50_n200_d0
tfidf,custom,100,200,0,0.7626146788990825,0.5250219133974567,513.224335193634,tfidf_custom_100_n200_d0
tfidf,,0,100,0,0.7614678899082569,0.523448682327187,185.56903386116028,tfidf_None_n100_d0
bow,,0,200,0,0.7603211009174312,0.5219742662265509,525.3236203193665,bow_None_n200_d0
bow,,0,200,20,0.7591743119266054,0.5200243407339683,10.737512588500977,bow_None_n200_d20
