feature,importance
too,0.00922261982994655
bad,0.008378444852701374
no,0.005304211798657852
the,0.0051296086374909245
good,0.005067988532684435
not,0.005067983345962543
best,0.004471071997852207
of,0.004077199867465759
and,0.003946424638728585
to,0.0036951594762790006
worst,0.0034308646267585652
is,0.0033891770486799994
funny,0.00337727172464061
or,0.003241663539008653
as,0.003067225426402453
dull,0.0030435610221178503
it,0.0028719427974096966
well,0.002864629010258304
love,0.002776840491855519
like,0.0027723042088501947
that,0.002751336976490474
fun,0.0025853754009100855
heart,0.0025570963948491877
with,0.0025337678607172415
in,0.002480374646304541
nothing,0.0024742897502810766
entertaining,0.00244880001183598
just,0.0023448593316404516
great,0.002332619798080418
fascinating,0.002280131235593837
out,0.0022514959727459177
movie,0.002174511135574901
less,0.002083301891165066
moving,0.0020440972216682458
minutes,0.0019659151185458384
for,0.0019608019259779704
film,0.0019590686993427925
you,0.0019495195596986336
an,0.0019438776173687211
beautiful,0.0019285820011769417
plot,0.001924224936828668
predictable,0.001906038366266996
compelling,0.0019030751181302622
powerful,0.00189585389581681
its,0.0018851756655213036
but,0.001843201051627088
been,0.0018205938394848735
does,0.001810150082562894
enjoyable,0.0018070742926949036
mess,0.001795651486369515
this,0.0017791417161022135
flat,0.0017601984105891466
performances,0.0017464968841315106
stupid,0.0017228905340151367
solid,0.0017036912101807342
performance,0.0017030114121516986
so,0.001690336466113161
hilarious,0.0016697838346373187
never,0.0016696331299765133
down,0.001643626418456964
be,0.001637779130995383
little,0.0016233199848207406
more,0.001591204996579092
lack,0.0015860344090784352
life,0.0015751049136315137
beautifully,0.0015601518268244761
low,0.0015551932717253914
ugly,0.001546091787173518
thin,0.0015422902947924042
than,0.0015381563932159125
on,0.0015301405257405162
unfunny,0.0015210077497942926
self,0.0015001967614705959
world,0.0014411402452232098
dumb,0.0014304121674569772
lacks,0.0014101462836189477
sweet,0.0013892183131618446
charming,0.0013796999945454682
only,0.0013767511364795389
tired,0.0013651011716650022
one,0.0013641303598993543
smart,0.0013577216993757649
by,0.0013386390368763832
perfect,0.0013321839380546604
boring,0.0013194169845888361
pretentious,0.001306546765719235
about,0.0012930218367075898
have,0.0012836521387289176
would,0.0012797909668791445
at,0.0012704707919031595
from,0.0012654480176997123
contrived,0.0012593167067027938
were,0.0012520657504224554
touching,0.0012504811900323782
worth,0.001245629867841195
strong,0.001238063859259605
off,0.0012355892096425683
cast,0.0012148201318296593
do,0.0012140354563411103
bland,0.0011913370923639726
wonderful,0.0011912796598717399
remarkable,0.0011895025128209487
engaging,0.0011850438732695563
real,0.0011805906191095158
most,0.0011794668107192167
all,0.0011792974370353594
dialogue,0.0011740281921993462
are,0.0011693309898481643
much,0.0011683375216238162
his,0.0011622873056951798
waste,0.0011577707760752345
cheap,0.0011457994046444936
terrific,0.0011441395067619254
right,0.0011407705504565715
poorly,0.00111031482601143
clever,0.001106756400704757
interesting,0.001094570729179723
was,0.0010944748093221835
shallow,0.0010914632568995385
has,0.0010856474455202718
tedious,0.0010828098663718513
pointless,0.001079309124326699
intelligent,0.0010710324153115208
any,0.0010700544748020392
fails,0.0010695709398916553
worse,0.0010663079909300766
honest,0.0010544775661185672
intriguing,0.0010252748149623561
portrait,0.001024644055222239
enough,0.0010243749870227933
amusing,0.0010239985007219436
rich,0.0010234003992390763
slow,0.0010160734387928147
works,0.0010116171536903597
cold,0.0010079060508100986
depressing,0.0010001522426665466
power,0.0009990541079480657
work,0.0009970776547982094
lacking,0.0009840489130837902
half,0.0009815209284046943
director,0.000979439866229452
gorgeous,0.0009771407574392607
satisfying,0.0009754587560246162
wrong,0.0009692454337221153
over,0.0009630594755380606
story,0.0009628642740457603
cliches,0.0009619537442484644
time,0.0009502194239583036
into,0.0009404852692908988
without,0.0009383726113041805
will,0.0009217722018946674
script,0.0009195625720149636
humor,0.0009174560721890529
rare,0.0009156436646142397
silly,0.0009122728098742178
long,0.0009114936419293153
us,0.0009114747049243373
very,0.0009074970375422747
up,0.0009046274685033154
rather,0.000901788869673506
awful,0.0008993501008786416
tv,0.0008984167457034185
poor,0.0008974651455986826
what,0.0008950454725387717
lame,0.0008829187352681554
comedy,0.0008811797658295928
better,0.000879464115959529
none,0.0008741883245367034
fine,0.0008714896635433933
brilliant,0.0008712709110738883
characters,0.0008646206575985188
tiresome,0.000862532714517258
feels,0.0008578698766523135
excellent,0.0008536637908238852
makes,0.0008530080966198855
if,0.0008525036710990168
left,0.0008515615076187313
human,0.0008470702631517361
even,0.0008453273978753498
could,0.0008412536968011682
offensive,0.0008395793412607655
impressive,0.0008376486224385869
family,0.0008373237612940073
disaster,0.0008315485425818771
delightful,0.0008314971774318055
jokes,0.0008276160240874799
new,0.0008249347322468255
amateurish,0.0008245247624058847
original,0.0008225302313143035
annoying,0.0008209882848180022
first,0.0008181902448395006
their,0.0008163748771324661
through,0.0008162870939658732
still,0.0008158664756510713
charm,0.000813968848345668
something,0.0008042910765995863
see,0.0008039825724403221
video,0.0008018877129546621
seems,0.0007963568237476386
star,0.0007956993244544255
thoughtful,0.0007873805154949454
who,0.0007873714536168674
generic,0.0007860157852043896
some,0.0007813708674552467
superficial,0.0007762967806671356
tale,0.0007759466535350349
documentary,0.0007722130244112762
devoid,0.0007714466503898065
way,0.0007706089667235124
your,0.0007683498193500364
inventive,0.000764568444024113
laughs,0.0007635893384394892
moments,0.0007611789466820154
already,0.0007581033831453019
stale,0.0007556015193041456
