vectorizer_type,stopwords_option,stopwords_count,c_value,accuracy,mcc,train_time,config_str
bow,custom,30,0.1,0.8325688073394495,0.665107916379147,0.4546198844909668,bow_custom_30_C0.1
tfidf,,0,0.1,0.8325688073394495,0.6650032512365469,0.391448974609375,tfidf_None_C0.1
tfidf,custom,20,0.1,0.8291284403669725,0.658157909789304,0.3461430072784424,tfidf_custom_20_C0.1
tfidf,custom,30,0.1,0.8291284403669725,0.6581526485151515,0.3474302291870117,tfidf_custom_30_C0.1
bow,custom,20,0.1,0.8268348623853211,0.6536009603425408,0.48171567916870117,bow_custom_20_C0.1
bow,custom,10,0.01,0.8268348623853211,0.6535353032104133,0.38999319076538086,bow_custom_10_C0.01
bow,,0,0.1,0.8245412844036697,0.6496663941661134,0.6887309551239014,bow_None_C0.1
tfidf,custom,10,0.1,0.8245412844036697,0.6489446572912939,0.36051392555236816,tfidf_custom_10_C0.1
tfidf,custom,50,0.1,0.823394495412844,0.646795814672519,0.3356301784515381,tfidf_custom_50_C0.1
tfidf,,0,1.0,0.8222477064220184,0.6448112199699652,0.5441250801086426,tfidf_None_C1.0
